"日付け","終値","始値","高値","安値","前日比%"
"2010年12月31日","81.16","81.50","81.54","80.95","-0.42%"
"2010年12月30日","81.50","81.63","81.86","81.29","-0.15%"
"2010年12月29日","81.63","82.37","82.37","81.61","-0.89%"
"2010年12月28日","82.37","82.76","82.77","81.82","-0.48%"
"2010年12月27日","82.76","82.95","82.98","82.65","-0.14%"
"2010年12月24日","82.88","83.03","83.16","82.87","-0.18%"
"2010年12月23日","83.03","83.57","83.58","82.86","-0.64%"
"2010年12月22日","83.57","83.81","83.85","83.42","-0.29%"
"2010年12月21日","83.81","83.79","83.91","83.50","0.02%"
"2010年12月20日","83.79","84.03","84.12","83.63","-0.23%"
"2010年12月17日","83.99","84.06","84.20","83.69","-0.08%"
"2010年12月16日","84.06","84.28","84.44","83.90","-0.26%"
"2010年12月15日","84.28","83.81","84.51","83.65","0.56%"
"2010年12月14日","83.81","83.45","83.83","82.84","0.43%"
"2010年12月13日","83.45","83.99","84.35","83.11","-0.60%"
"2010年12月10日","83.95","83.83","84.01","83.46","0.14%"
"2010年12月09日","83.83","84.11","84.11","83.52","-0.33%"
"2010年12月08日","84.11","83.49","84.30","83.48","0.75%"
"2010年12月07日","83.49","82.68","83.66","82.34","0.97%"
"2010年12月06日","82.68","82.80","82.99","82.57","0.16%"
"2010年12月03日","82.55","83.84","83.85","82.53","-1.54%"
"2010年12月02日","83.84","84.14","84.37","83.50","-0.36%"
"2010年12月01日","84.14","83.69","84.40","83.39","0.54%"
"2010年11月30日","83.69","84.28","84.28","83.43","-0.70%"
"2010年11月29日","84.28","84.18","84.40","83.84","0.24%"
"2010年11月26日","84.07","83.65","84.18","83.64","0.50%"
"2010年11月25日","83.65","83.53","83.70","83.40","0.15%"
"2010年11月24日","83.53","83.27","83.66","82.95","0.31%"
"2010年11月23日","83.27","83.31","83.85","82.79","-0.05%"
"2010年11月22日","83.31","83.48","83.56","83.23","-0.26%"
"2010年11月19日","83.53","83.54","83.64","83.14","-0.01%"
"2010年11月18日","83.54","83.14","83.78","83.10","0.49%"
"2010年11月17日","83.14","83.38","83.55","83.04","-0.29%"
"2010年11月16日","83.38","83.17","83.59","82.91","0.25%"
"2010年11月15日","83.17","82.49","83.26","82.40","0.81%"
