Date,Open,High,Low,Close
1971-05-03,357.41,357.41,357.41,357.41
1971-05-04,357.39,357.39,357.39,357.39
1971-05-05,357.38,357.38,357.38,357.38
1971-05-06,357.39,357.39,357.39,357.39
1971-05-07,357.43,357.43,357.43,357.43
1971-05-10,357.13,357.13,357.13,357.13
1971-05-11,357.43,357.43,357.43,357.43
1971-05-12,357.52,357.52,357.52,357.52
1971-05-13,357.49,357.49,357.49,357.49
1971-05-14,357.49,357.49,357.49,357.49
1971-05-17,357.4,357.4,357.4,357.4
1971-05-18,357.44,357.44,357.44,357.44
1971-05-19,357.4,357.4,357.4,357.4
1971-05-20,357.46,357.46,357.46,357.46
1971-05-21,357.39,357.39,357.39,357.39
1971-05-24,357.39,357.39,357.39,357.39
1971-05-25,357.4,357.4,357.4,357.4
1971-05-26,357.43,357.43,357.43,357.43
1971-05-27,357.4,357.4,357.4,357.4
1971-05-28,357.4,357.4,357.4,357.4
1971-06-01,357.44,357.44,357.44,357.44
1971-06-02,357.39,357.39,357.39,357.39
1971-06-03,357.48,357.48,357.48,357.48
1971-06-04,357.4,357.4,357.4,357.4
1971-06-07,357.39,357.39,357.39,357.39
1971-06-08,357.41,357.41,357.41,357.41
1971-06-09,357.41,357.41,357.41,357.41
1971-06-10,357.39,357.39,357.39,357.39
1971-06-11,357.39,357.39,357.39,357.39
1971-06-14,357.41,357.41,357.41,357.41
1971-06-15,357.46,357.46,357.46,357.46
1971-06-16,357.46,357.46,357.46,357.46
1971-06-17,357.45,357.45,357.45,357.45
1971-06-18,357.4,357.4,357.4,357.4
1971-06-21,357.39,357.39,357.39,357.39
1971-06-22,357.39,357.39,357.39,357.39
1971-06-23,357.41,357.41,357.41,357.41
1971-06-24,357.39,357.39,357.39,357.39
1971-06-25,357.41,357.41,357.41,357.41
1971-06-28,357.36,357.36,357.36,357.36
1971-06-29,357.39,357.39,357.39,357.39
1971-06-30,357.41,357.41,357.41,357.41
1971-07-01,357.41,357.41,357.41,357.41
1971-07-02,357.4,357.4,357.4,357.4
1971-07-06,357.45,357.45,357.45,357.45
1971-07-07,357.47,357.47,357.47,357.47
1971-07-08,357.46,357.46,357.46,357.46
1971-07-09,357.4,357.4,357.4,357.4
1971-07-12,357.42,357.42,357.42,357.42
1971-07-13,357.45,357.45,357.45,357.45
1971-07-14,357.4,357.4,357.4,357.4
1971-07-15,357.4,357.4,357.4,357.4
1971-07-16,357.4,357.4,357.4,357.4
1971-07-19,357.39,357.39,357.39,357.39
1971-07-20,357.39,357.39,357.39,357.39
1971-07-21,357.39,357.39,357.39,357.39
1971-07-22,357.37,357.37,357.37,357.37
1971-07-23,357.36,357.36,357.36,357.36
1971-07-26,357.4,357.4,357.4,357.4
1971-07-27,357.37,357.37,357.37,357.37
1971-07-28,357.39,357.39,357.39,357.39
1971-07-29,357.41,357.41,357.41,357.41
1971-07-30,357.41,357.41,357.41,357.41
1971-08-02,357.39,357.39,357.39,357.39
1971-08-03,357.36,357.36,357.36,357.36
1971-08-04,357.38,357.38,357.38,357.38
1971-08-05,357.37,357.37,357.37,357.37
1971-08-06,357.38,357.38,357.38,357.38
1971-08-09,357.36,357.36,357.36,357.36
1971-08-10,357.37,357.37,357.37,357.37
1971-08-11,357.35,357.35,357.35,357.35
1971-08-12,357.39,357.39,357.39,357.39
1971-08-13,357.37,357.37,357.37,357.37
1971-08-16,357.55,357.55,357.55,357.55
1971-08-17,357.73,357.73,357.73,357.73
1971-08-18,357.91,357.91,357.91,357.91
1971-08-19,358.09,358.09,358.09,358.09
1971-08-20,358.26,358.26,358.26,358.26
1971-08-23,358.44,358.44,358.44,358.44
1971-08-24,358.62,358.62,358.62,358.62
1971-08-25,358.8,358.8,358.8,358.8
1971-08-26,358.98,358.98,358.98,358.98
1971-08-27,359.16,359.16,359.16,359.16
1971-08-30,359.34,359.34,359.34,359.34
1971-08-31,339.85,339.85,339.85,339.85
1971-09-01,340.99,340.99,340.99,340.99
1971-09-02,338.98,338.98,338.98,338.98
1971-09-03,340.15,340.15,340.15,340.15
1971-09-07,339.77,339.77,339.77,339.77
1971-09-08,339.37,339.37,339.37,339.37
1971-09-09,339.09,339.09,339.09,339.09
1971-09-10,338.83,338.83,338.83,338.83
1971-09-13,338.97,338.97,338.97,338.97
1971-09-14,338.25,338.25,338.25,338.25
1971-09-15,338.4,338.4,338.4,338.4
1971-09-16,337.84,337.84,337.84,337.84
1971-09-17,337.95,337.95,337.95,337.95
1971-09-20,337.28,337.28,337.28,337.28
1971-09-21,337.35,337.35,337.35,337.35
1971-09-22,337.45,337.45,337.45,337.45
1971-09-23,337.27,337.27,337.27,337.27
1971-09-24,336.99,336.99,336.99,336.99
1971-09-27,336.25,336.25,336.25,336.25
1971-09-28,336.36,336.36,336.36,336.36
1971-09-29,335.56,335.56,335.56,335.56
1971-09-30,335.35,335.35,335.35,335.35
1971-10-01,333.38,333.38,333.38,333.38
1971-10-04,333.16,333.16,333.16,333.16
1971-10-05,333.13,333.13,333.13,333.13
1971-10-06,332.63,332.63,332.63,332.63
1971-10-07,332.62,332.62,332.62,332.62
1971-10-08,332.38,332.38,332.38,332.38
1971-10-12,330.52,330.52,330.52,330.52
1971-10-13,331.41,331.41,331.41,331.41
1971-10-14,330.86,330.86,330.86,330.86
1971-10-15,330.59,330.59,330.59,330.59
1971-10-18,329.6,329.6,329.6,329.6
1971-10-19,330.85,330.85,330.85,330.85
1971-10-20,331.08,331.08,331.08,331.08
1971-10-21,330.79,330.79,330.79,330.79
1971-10-22,330.36,330.36,330.36,330.36
1971-10-26,329.01,329.01,329.01,329.01
1971-10-27,329.54,329.54,329.54,329.54
1971-10-28,329.71,329.71,329.71,329.71
1971-10-29,329.51,329.51,329.51,329.51
1971-11-01,329.46,329.46,329.46,329.46
1971-11-03,329.51,329.51,329.51,329.51
1971-11-04,330.88,330.88,330.88,330.88
1971-11-05,329.17,329.17,329.17,329.17
1971-11-08,329.23,329.23,329.23,329.23
1971-11-09,329.18,329.18,329.18,329.18
1971-11-10,329.11,329.11,329.11,329.11
1971-11-11,329.12,329.12,329.12,329.12
1971-11-12,329.49,329.49,329.49,329.49
1971-11-15,328.74,328.74,328.74,328.74
1971-11-16,328.63,328.63,328.63,328.63
1971-11-17,328.81,328.81,328.81,328.81
1971-11-18,328.68,328.68,328.68,328.68
1971-11-19,328.41,328.41,328.41,328.41
1971-11-22,328.42,328.42,328.42,328.42
1971-11-23,328.2,328.2,328.2,328.2
1971-11-24,328.04,328.04,328.04,328.04
1971-11-26,327.6,327.6,327.6,327.6
1971-11-29,327.06,327.06,327.06,327.06
1971-11-30,327.45,327.45,327.45,327.45
1971-12-01,327.6,327.6,327.6,327.6
1971-12-02,326,326,326,326
1971-12-03,325.11,325.11,325.11,325.11
1971-12-06,326.53,326.53,326.53,326.53
1971-12-07,323.62,323.62,323.62,323.62
1971-12-08,323.5,323.5,323.5,323.5
1971-12-09,323.52,323.52,323.52,323.52
1971-12-10,323.11,323.11,323.11,323.11
1971-12-13,322.79,322.79,322.79,322.79
1971-12-14,322.58,322.58,322.58,322.58
1971-12-15,321.54,321.54,321.54,321.54
1971-12-16,320.01,320.01,320.01,320.01
1971-12-17,320.36,320.36,320.36,320.36
1971-12-20,320.52,320.52,320.52,320.52
1971-12-21,314.98,314.98,314.98,314.98
1971-12-22,314.96,314.96,314.96,314.96
1971-12-23,315.01,315.01,315.01,315.01
1971-12-24,315.21,315.21,315.21,315.21
1971-12-27,314.96,314.96,314.96,314.96
1971-12-28,315.01,315.01,315.01,315.01
1971-12-29,315.21,315.21,315.21,315.21
1971-12-30,315.01,315.01,315.01,315.01
1971-12-31,315.02,315.02,315.02,315.02
1972-01-03,314.86,314.86,314.86,314.86
1972-01-04,314.97,314.97,314.97,314.97
1972-01-05,314.86,314.86,314.86,314.86
1972-01-06,312.02,312.02,312.02,312.02
1972-01-07,312.52,312.52,312.52,312.52
1972-01-10,312.99,312.99,312.99,312.99
1972-01-11,314.46,314.46,314.46,314.46
1972-01-12,313.47,313.47,313.47,313.47
1972-01-13,313.96,313.96,313.96,313.96
1972-01-14,313,313,313,313
1972-01-17,313.39,313.39,313.39,313.39
1972-01-18,312.9,312.9,312.9,312.9
1972-01-19,312.8,312.8,312.8,312.8
1972-01-20,312.03,312.03,312.03,312.03
1972-01-21,312.31,312.31,312.31,312.31
1972-01-24,312.22,312.22,312.22,312.22
1972-01-25,311.82,311.82,311.82,311.82
1972-01-26,311.53,311.53,311.53,311.53
1972-01-27,310.09,310.09,310.09,310.09
1972-01-28,310.47,310.47,310.47,310.47
1972-01-31,310.57,310.57,310.57,310.57
1972-02-01,310.39,310.39,310.39,310.39
1972-02-02,308.56,308.56,308.56,308.56
1972-02-03,309.13,309.13,309.13,309.13
1972-02-04,308.65,308.65,308.65,308.65
1972-02-07,308.18,308.18,308.18,308.18
1972-02-08,307.7,307.7,307.7,307.7
1972-02-09,304.8,304.8,304.8,304.8
1972-02-10,304.7,304.7,304.7,304.7
1972-02-11,304.7,304.7,304.7,304.7
1972-02-14,304.24,304.24,304.24,304.24
1972-02-15,304.15,304.15,304.15,304.15
1972-02-16,303.96,303.96,303.96,303.96
1972-02-17,303.96,303.96,303.96,303.96
1972-02-18,303.49,303.49,303.49,303.49
1972-02-22,302.85,302.85,302.85,302.85
1972-02-23,302.48,302.48,302.48,302.48
1972-02-24,302.12,302.12,302.12,302.12
1972-02-25,302.49,302.49,302.49,302.49
1972-02-28,303.95,303.95,303.95,303.95
1972-02-29,303.4,303.4,303.4,303.4
1972-03-01,303.21,303.21,303.21,303.21
1972-03-02,303.03,303.03,303.03,303.03
1972-03-03,302.66,302.66,302.66,302.66
1972-03-06,302.75,302.75,302.75,302.75
1972-03-07,302.3,302.3,302.3,302.3
1972-03-08,302.02,302.02,302.02,302.02
1972-03-09,301.66,301.66,301.66,301.66
1972-03-10,301.93,301.93,301.93,301.93
1972-03-13,302.3,302.3,302.3,302.3
1972-03-14,302.21,302.21,302.21,302.21
1972-03-15,302.11,302.11,302.11,302.11
1972-03-16,302.02,302.02,302.02,302.02
1972-03-17,302.11,302.11,302.11,302.11
1972-03-20,302.3,302.3,302.3,302.3
1972-03-21,302.11,302.11,302.11,302.11
1972-03-22,302.12,302.12,302.12,302.12
1972-03-23,301.93,301.93,301.93,301.93
1972-03-24,302.3,302.3,302.3,302.3
1972-03-27,302.57,302.57,302.57,302.57
1972-03-28,302.86,302.86,302.86,302.86
1972-03-29,303.78,303.78,303.78,303.78
1972-03-30,303.77,303.77,303.77,303.77
1972-03-31,304.32,304.32,304.32,304.32
1972-04-03,304.14,304.14,304.14,304.14
1972-04-04,304.97,304.97,304.97,304.97
1972-04-05,305.16,305.16,305.16,305.16
1972-04-06,304.88,304.88,304.88,304.88
1972-04-07,303.21,303.21,303.21,303.21
1972-04-10,302.11,302.11,302.11,302.11
1972-04-11,302.3,302.3,302.3,302.3
1972-04-12,302.43,302.43,302.43,302.43
1972-04-13,302.57,302.57,302.57,302.57
1972-04-14,302.94,302.94,302.94,302.94
1972-04-17,302.57,302.57,302.57,302.57
1972-04-18,302.39,302.39,302.39,302.39
1972-04-19,302.94,302.94,302.94,302.94
1972-04-20,303.04,303.04,303.04,303.04
1972-04-21,303.22,303.22,303.22,303.22
1972-04-24,305.18,305.18,305.18,305.18
1972-04-25,304.31,304.31,304.31,304.31
1972-04-26,303.76,303.76,303.76,303.76
1972-04-27,304.22,304.22,304.22,304.22
1972-04-28,304.86,304.86,304.86,304.86
1972-05-01,304.42,304.42,304.42,304.42
1972-05-02,304.24,304.24,304.24,304.24
1972-05-03,304.31,304.31,304.31,304.31
1972-05-04,304.22,304.22,304.22,304.22
1972-05-05,304.31,304.31,304.31,304.31
1972-05-08,305.05,305.05,305.05,305.05
1972-05-09,304.96,304.96,304.96,304.96
1972-05-10,303.77,303.77,303.77,303.77
1972-05-11,303.58,303.58,303.58,303.58
1972-05-12,303.86,303.86,303.86,303.86
1972-05-15,304.32,304.32,304.32,304.32
1972-05-16,304.4,304.4,304.4,304.4
1972-05-17,304.51,304.51,304.51,304.51
1972-05-18,304.61,304.61,304.61,304.61
1972-05-19,304.05,304.05,304.05,304.05
1972-05-22,304.42,304.42,304.42,304.42
1972-05-23,304.22,304.22,304.22,304.22
1972-05-24,304.31,304.31,304.31,304.31
1972-05-25,304.31,304.31,304.31,304.31
1972-05-26,304.4,304.4,304.4,304.4
1972-05-30,305.34,305.34,305.34,305.34
1972-05-31,304.68,304.68,304.68,304.68
1972-06-01,304.43,304.43,304.43,304.43
1972-06-02,304.22,304.22,304.22,304.22
1972-06-05,304.68,304.68,304.68,304.68
1972-06-06,304.49,304.49,304.49,304.49
1972-06-07,304.4,304.4,304.4,304.4
1972-06-08,304.31,304.31,304.31,304.31
1972-06-09,304.23,304.23,304.23,304.23
1972-06-12,304.52,304.52,304.52,304.52
1972-06-13,304.04,304.04,304.04,304.04
1972-06-14,303.95,303.95,303.95,303.95
1972-06-15,304.03,304.03,304.03,304.03
1972-06-16,303.95,303.95,303.95,303.95
1972-06-19,303.85,303.85,303.85,303.85
1972-06-20,303.39,303.39,303.39,303.39
1972-06-21,302.94,302.94,302.94,302.94
1972-06-22,302.06,302.06,302.06,302.06
1972-06-23,294.12,294.12,294.12,294.12
1972-06-26,298.51,298.51,298.51,298.51
1972-06-27,298.5,298.5,298.5,298.5
1972-06-28,296.75,296.75,296.75,296.75
1972-06-29,300.75,300.75,300.75,300.75
1972-06-30,300.94,300.94,300.94,300.94
1972-07-03,300.86,300.86,300.86,300.86
1972-07-05,300.02,300.02,300.02,300.02
1972-07-06,300.55,300.55,300.55,300.55
1972-07-07,300.94,300.94,300.94,300.94
1972-07-10,301.31,301.31,301.31,301.31
1972-07-11,301.58,301.58,301.58,301.58
1972-07-12,301.19,301.19,301.19,301.19
1972-07-13,301.01,301.01,301.01,301.01
1972-07-14,301.2,301.2,301.2,301.2
1972-07-17,301.03,301.03,301.03,301.03
1972-07-18,300.74,300.74,300.74,300.74
1972-07-19,301.19,301.19,301.19,301.19
1972-07-20,300.92,300.92,300.92,300.92
1972-07-21,301.09,301.09,301.09,301.09
1972-07-24,301.21,301.21,301.21,301.21
1972-07-25,300.76,300.76,300.76,300.76
1972-07-26,301.19,301.19,301.19,301.19
1972-07-27,301.2,301.2,301.2,301.2
1972-07-28,301.2,301.2,301.2,301.2
1972-07-31,301.39,301.39,301.39,301.39
1972-08-01,301.2,301.2,301.2,301.2
1972-08-02,301.2,301.2,301.2,301.2
1972-08-03,301.21,301.21,301.21,301.21
1972-08-04,300.93,300.93,300.93,300.93
1972-08-07,301.12,301.12,301.12,301.12
1972-08-08,301.21,301.21,301.21,301.21
1972-08-09,301.21,301.21,301.21,301.21
1972-08-10,301.13,301.13,301.13,301.13
1972-08-11,301.12,301.12,301.12,301.12
1972-08-14,301.12,301.12,301.12,301.12
1972-08-15,301.22,301.22,301.22,301.22
1972-08-16,301.21,301.21,301.21,301.21
1972-08-17,301.21,301.21,301.21,301.21
1972-08-18,301.21,301.21,301.21,301.21
1972-08-21,301.11,301.11,301.11,301.11
1972-08-22,301.19,301.19,301.19,301.19
1972-08-23,301.2,301.2,301.2,301.2
1972-08-24,301.2,301.2,301.2,301.2
1972-08-25,301.2,301.2,301.2,301.2
1972-08-28,301.21,301.21,301.21,301.21
1972-08-29,301.2,301.2,301.2,301.2
1972-08-30,301.1,301.1,301.1,301.1
1972-08-31,301.11,301.11,301.11,301.11
1972-09-01,301.1,301.1,301.1,301.1
1972-09-05,301.19,301.19,301.19,301.19
